[Fri Sep 01 01:04:40.603133 2023] [fcgid:warn] [pid 95454] [client 54.36.148.248:46919] mod_fcgid: stderr: PHP Warning:  Undefined variable $detectedBrowser in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 94
[Fri Sep 01 02:00:16.547822 2023] [fcgid:warn] [pid 9278] [client 185.191.171.14:30144] mod_fcgid: stderr: PHP Warning:  Undefined 
[Fri Sep 01 02:00:16.557119 2023] [fcgid:warn] [pid 9278] [client 185.191.171.14:30144] mod_fcgid: stderr: variable $detectedBrowser in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 94
[Fri Sep 01 03:47:31.896482 2023] [fcgid:warn] [pid 8855] [client 107.166.124.115:12911] mod_fcgid: stderr: PHP Warning:  Undefined array key "latitude" in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 47
[Fri Sep 01 03:47:31.896867 2023] [fcgid:warn] [pid 8855] [client 107.166.124.115:12911] mod_fcgid: stderr: PHP Warning:  Undefined array key "longitude" in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 48
[Fri Sep 01 03:47:31.896875 2023] [fcgid:warn] [pid 8855] [client 107.166.124.115:12911] mod_fcgid: stderr: PHP Warning:  Undefined array key "city" in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 49
[Fri Sep 01 03:47:31.896881 2023] [fcgid:warn] [pid 8855] [client 107.166.124.115:12911] mod_fcgid: stderr: PHP Warning:  Undefined array key "country" in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 50
[Fri Sep 01 03:47:31.896888 2023] [fcgid:warn] [pid 8855] [client 107.166.124.115:12911] mod_fcgid: stderr: PHP Warning:  Undefined array key "latitude" in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 53
[Fri Sep 01 03:47:31.896894 2023] [fcgid:warn] [pid 8855] [client 107.166.124.115:12911] mod_fcgid: stderr: PHP Warning:  Undefined array key "longitude" in /sites/webcrafters.be/httpsdocs/functions/addPageviews.php on line 53
[Fri Sep 01 08:30:59.361552 2023] [fcgid:warn] [pid 25876] [client 185.191.171.19:10414] mod_fcgid: stderr: PHP Warning:  include(../footer.php): Failed to open stream: No such file or directory in /sites/webcrafters.be/httpsdocs/pages/account/register.php on line 141
[Fri Sep 01 08:30:59.361589 2023] [fcgid:warn] [pid 25876] [client 185.191.171.19:10414] mod_fcgid: stderr: PHP Warning:  include(): Failed opening '../footer.php' for inclusion (include_path='.:/usr/local/share/pear') in /sites/webcrafters.be/httpsdocs/pages/account/register.php on line 141
